Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,Atlas
-2.47891,0.367039,0.240292,0.237776,0.232191,0.278569,0.26695,0.307743,0.365956,0.265368,0.238717,0.270987,0.236778,0.267622,0.411604,0.261443,0.564406
-1.97891,0.342457,0.212598,0.220631,0.212941,0.250446,0.23908,0.267535,0.331162,0.243961,0.218923,0.250676,0.220714,0.247736,0.382878,0.245007,0.557301
-1.47891,0.314264,0.183372,0.202869,0.190565,0.216204,0.209947,0.225697,0.28648,0.221865,0.196557,0.228535,0.19889,0.225314,0.368991,0.226243,0.542817
-0.978906,0.290028,0.16134,0.188805,0.171691,0.18739,0.186935,0.195565,0.249429,0.203894,0.177986,0.210648,0.179211,0.206737,0.369797,0.212112,0.525497
-0.478906,0.273787,0.148314,0.17926,0.158699,0.170929,0.171291,0.18023,0.230767,0.190426,0.166742,0.199685,0.166113,0.193426,0.374866,0.204775,0.506355
0.021094,0.268431,0.144873,0.173435,0.153206,0.168205,0.161478,0.175594,0.232003,0.182688,0.164334,0.197262,0.160747,0.186818,0.373134,0.204886,0.485053
0.521094,0.274425,0.152506,0.171964,0.157796,0.17504,0.162358,0.176676,0.245164,0.184762,0.169721,0.200831,0.162676,0.187285,0.371227,0.213481,0.462458
1.02109,0.288518,0.165564,0.175953,0.173265,0.185547,0.174018,0.183862,0.263573,0.194807,0.178762,0.207647,0.169349,0.192043,0.380815,0.225589,0.439608
1.52109,0.309777,0.181786,0.188058,0.201046,0.19997,0.191727,0.199023,0.291206,0.209048,0.189904,0.219043,0.18272,0.202123,0.402989,0.23934,0.413629
2.02109,0.339066,0.199523,0.208051,0.240443,0.219152,0.211035,0.221351,0.328192,0.223033,0.202497,0.236837,0.204771,0.21773,0.428885,0.253768,0.384065
2.52109,0.369557,0.213571,0.225775,0.28168,0.240544,0.224626,0.241893,0.364421,0.231058,0.213661,0.256624,0.230341,0.234227,0.445526,0.261964,0.353598
3.02109,0.392162,0.22095,0.22732,0.310216,0.260218,0.229331,0.253206,0.388525,0.231291,0.220315,0.271194,0.249112,0.243156,0.446559,0.260472,0.324212
3.52109,0.400448,0.220854,0.21719,0.319443,0.272989,0.225202,0.255984,0.396293,0.226034,0.220268,0.274537,0.254322,0.238871,0.437636,0.252201,0.298675
4.02109,0.396418,0.217409,0.208238,0.314029,0.278229,0.217107,0.25775,0.397139,0.222206,0.217065,0.268684,0.249704,0.226584,0.435262,0.248241,0.278579
4.52109,0.391913,0.218028,0.213282,0.303141,0.281104,0.213993,0.268543,0.4082,0.22865,0.222304,0.263523,0.245564,0.216799,0.453474,0.253632,0.26351
5.02109,0.398059,0.228343,0.237416,0.295809,0.287639,0.220524,0.289998,0.440295,0.247167,0.243835,0.267646,0.250996,0.217556,0.501413,0.270537,0.252815
5.52109,0.411902,0.246396,0.262256,0.291505,0.29767,0.233844,0.314316,0.485068,0.267853,0.277365,0.279181,0.265284,0.226667,0.57353,0.31199,0.247641
6.02109,0.420525,0.262045,0.273748,0.284699,0.304296,0.24556,0.328721,0.516723,0.276984,0.30799,0.287724,0.27805,0.235062,0.63653,0.371203,0.250737
6.52109,0.412374,0.264608,0.265293,0.271116,0.29923,0.247997,0.324662,0.511324,0.266515,0.324341,0.282465,0.276473,0.237196,0.652085,0.427839,0.262816
7.02109,0.384552,0.251167,0.238624,0.249674,0.279922,0.239037,0.304692,0.464615,0.24068,0.32886,0.260661,0.254924,0.231501,0.605983,0.452831,0.279797
7.52109,0.348376,0.226931,0.204369,0.223719,0.251381,0.220121,0.276758,0.397875,0.211139,0.329299,0.229572,0.218574,0.218654,0.529553,0.426016,0.294544
8.02109,0.314857,0.199391,0.172753,0.199109,0.220593,0.193813,0.246127,0.337967,0.183821,0.325345,0.198561,0.179502,0.200026,0.46175,0.363721,0.30018
8.52109,0.288493,0.172426,0.148978,0.178176,0.191973,0.164112,0.213978,0.296216,0.158735,0.307376,0.173795,0.147525,0.178095,0.411547,0.295904,0.293619
9.02109,0.263833,0.145927,0.131236,0.1581,0.164389,0.135149,0.179217,0.265372,0.133258,0.268588,0.154389,0.124386,0.155066,0.363247,0.236948,0.275279
9.52109,0.232079,0.120119,0.114492,0.13627,0.134697,0.110625,0.143297,0.229759,0.105996,0.214381,0.136995,0.106841,0.131808,0.296017,0.189316,0.247128
10.0211,0.195018,0.0987881,0.0956296,0.113477,0.1042,0.0923986,0.11174,0.18762,0.0802694,0.159338,0.120248,0.092404,0.110306,0.221627,0.153575,0.213788
10.5211,0.163276,0.0861186,0.0777596,0.0954188,0.0792653,0.0812178,0.0902489,0.150882,0.061423,0.11828,0.106197,0.0811454,0.093983,0.165742,0.131156,0.182985
11.0211,0.140918,0.0811593,0.0638097,0.0847973,0.0624565,0.0759367,0.0782014,0.126073,0.0500971,0.0925782,0.096426,0.0724166,0.0828131,0.131963,0.118833,0.158757
11.5211,0.127708,0.0813658,0.0545138,0.0798474,0.05287,0.073834,0.0725949,0.113869,0.044382,0.0769225,0.0903973,0.0657342,0.0765053,0.112939,0.113233,0.141089
12.0211,0.121558,0.0861105,0.0503088,0.0793826,0.0498795,0.0734822,0.0720249,0.113039,0.0441121,0.0687846,0.0867023,0.0585591,0.0736198,0.102506,0.112694,0.128729
